date	month	year	dow	pm1	      temp	stagno	admyng	gasyng
10000	5	87	3	5.549286979	52	7	2	0
10001	5	87	4	10.27945433	55	7.5	1	1
10002	5	87	5	7.933674644	59	10.5	1	1
10003	5	87	6	11.1673955	55	8	6	1
10004	5	87	7	8.795092998	58	7.5	4	2
10005	5	87	1	8.308595578	58	11	3	1
10006	5	87	2	8.632475678	53	2.5	6	1
10007	5	87	3	3.167554193	55	1	3	0
10008	5	87	4	3.334489933	55	0	9	1
10009	5	87	5	4.167917362	55	3	1	0
10010	5	87	6	8.84387676	57	7	5	1
10011	5	87	7	3.364562291	55	2.5	4	1
10012	5	87	1	2.659733287	54	0	4	1
10013	6	87	2	4.941786724	55	2	8	1
10014	6	87	3	6.84762063	59	2.5	4	0
10015	6	87	4	11.63994465	66	3	4	1
10016	6	87	5	11.92690688	65	7.5	5	0
10017	6	87	6	5.699890204	59	3	2	2
10018	6	87	7	6.292472938	60	1.5	2	2
10019	6	87	1	6.95214787	65	8.5	6	3
10020	6	87	2	14.60040113	57	11	5	1
10021	6	87	3	17.45520722	55	3.5	5	1
10022	6	87	4	8.257501503	59	4.5	2	0
10023	6	87	5	11.08767777	63	7.5	8	3
10024	6	87	6	5.533033116	65	1	2	1
10025	6	87	7	9.940597577	64	9	2	2
10026	6	87	1	6.406781521	64	6.5	5	0
10027	6	87	2	8.312043944	57	4	4	1
10028	6	87	3	5.227665126	55	4.5	5	1
10029	6	87	4	8.07898339	59	5.5	5	1
10030	6	87	5	5.895362808	63	10.5	1	0
10031	6	87	6	8.923324075	64	9.5	4	0
10032	6	87	7	7.160634143	58	5	3	2
10033	6	87	1	1.734807342	58	0.5	7	0
10034	6	87	2	2.387203572	60	2	3	3
10035	6	87	3	4.62848945	61	6.5	2	0
10036	6	87	4	7.563265251	66	6.5	8	2
10037	6	87	5	12.85068119	71	7	3	0
10038	6	87	6	10.51774874	73	7.5	3	0
10039	6	87	7	6.925528694	71	8.5	1	0
10040	6	87	1	10.53155469	69	10.5	2	1
10041	6	87	2	13.11058157	76	12	4	3
10042	6	87	3	12.62675939	70	2.5	4	1
10043	7	87	4	6.589326095	66	1	3	0
10044	7	87	5	4.843141094	61	5.5	4	3
10045	7	87	6	6.082256693	64	7	3	1
10046	7	87	7	5.752385194	59	2.5	3	0
10047	7	87	1	2.238283421	61	1.5	3	1
10048	7	87	2	6.13142926	60	10.5	2	0
10049	7	87	3	6.229759757	61	3	5	1
10050	7	87	4	4.694751531	59	8.5	3	4
10051	7	87	5	6.950876202	59	15.5	1	1
10052	7	87	6	14.74671966	63	12	0	0
10053	7	87	7	10.58414135	72	9	1	1
10054	7	87	1	6.154680684	71	7	1	0
10055	7	87	2	9.435350531	71	8	1	0
10056	7	87	3	6.608555215	70	5	1	2
10057	7	87	4	6.431344171	63	4	5	1
10058	7	87	5	8.399258235	61	4	1	0
10059	7	87	6	9.285177996	64	10.5	4	1
10060	7	87	7	5.302479012	69	5	5	1
10061	7	87	1	8.833677567	64	11	4	2
10062	7	87	2	13.14005324	68	9.5	4	1
10063	7	87	3	10.80052988	69	11.5	0	2
10064	7	87	4	5.129917819	60	2	0	1
10065	7	87	5	12.63346739	66	9	3	1
10066	7	87	6	18.42698842	66	11	0	0
10067	7	87	7	8.07715613	64	6	3	0
10068	7	87	1	12.14433952	66	8	3	3
10069	7	87	2	5.135169644	65	6.5	3	2
10070	7	87	3	6.417479054	64	10.5	6	0
10071	7	87	4	3.925013736	65	5.5	4	1
10072	7	87	5	5.47145328	63	8	4	1
10073	7	87	6	4.169321285	62	5	0	2
10074	8	87	7	3.636414295	65	6.5	2	0
10075	8	87	1	6.509049038	67	9.5	2	0
10076	8	87	2	7.020534047	72	10.5	3	1
10077	8	87	3	9.294716134	69	9	5	1
10078	8	87	4	8.656594379	62	6	2	0
10079	8	87	5	8.012300525	67	12.5	3	1
10080	8	87	6	13.57668898	70	11	6	1
10081	8	87	7	10.15374937	74	10.5	3	1
10082	8	87	1	7.802252073	69	9.5	1	0
10083	8	87	2	5.834592407	61	3	4	1
10084	8	87	3	7.992796054	68	13	3	0
10085	8	87	4	11.94319563	59	7.5	1	1
10086	8	87	5	5.673570399	61	4.5	0	0
10087	8	87	6	11.82682672	63	20	5	2
10088	8	87	7	5.875071067	61	0.5	2	0
10089	8	87	1	4.539315518	61	5	6	0
10090	8	87	2	11.35043502	62	12.5	1	0
10091	8	87	3	6.451644606	66	8	1	3
10092	8	87	4	6.936829778	64	6.8	4	1
10093	8	87	5	6.16055098	63	5	1	1
10094	8	87	6	7.289625016	63	4	1	0
10095	8	87	7	11.93334322	67	9	4	0
10096	8	87	1	11.77993713	68	16.5	4	2
10097	8	87	2	14.37207112	69	13	1	0
10098	8	87	3	11.41918724	69	11	2	0
10099	8	87	4	18.39246811	66	13.5	2	0
10100	8	87	5	12.79280571	69	12	2	2
10101	8	87	6	6.679045517	63	10	2	2
10102	8	87	7	6.553164126	70	8	1	2
10103	8	87	1	13.64694314	73	14	4	3
10104	8	87	2	16.32960796	77	13	6	0
10105	9	87	3	18.83572059	75	9.5	1	1
10106	9	87	4	3.186093761	62	2	2	0
10107	9	87	5	7.415639774	62	11.5	3	2
10108	9	87	6	8.343523013	64	10.5	3	1
10109	9	87	7	12.63827655	68	13.5	4	0
10110	9	87	1	9.488439621	69	13	4	0
10111	9	87	2	14.43297954	67	14	3	1
10112	9	87	3	23.03614558	63	18.5	5	1
10113	9	87	4	32.3490593	62	13	1	1
10114	9	87	5	19.47069383	66	11	3	0
10115	9	87	6	12.22947608	58	7.5	2	0
10116	9	87	7	7.773253811	59	13	1	1
10117	9	87	1	7.803588904	61	11.1	7	0
10118	9	87	2	10.79659946	56	6	2	2
10119	9	87	3	5.646489125	57	4	3	1
10120	9	87	4	7.966955091	57	11.5	4	2
10121	9	87	5	13.15257957	58	15.5	7	2
10122	9	87	6	16.64651174	62	18	6	3
10123	9	87	7	19.1695571	63	16	9	3
10124	9	87	1	20.80117209	69	14.5	7	1
10125	9	87	2	22.64036903	69	15.5	5	1
10126	9	87	3	24.706071	68	15	6	0
10127	9	87	4	24.92151633	67	17	8	3
10128	9	87	5	16.64473556	59	5.5	6	0
10129	9	87	6	5.142464987	58	0.5	8	2
10130	9	87	7	6.59391662	56	7	6	1
10131	9	87	1	8.683165295	56	12.5	7	0
10132	9	87	2	15.86310323	60	10	11	2
10133	9	87	3	17.3101952	66	10	6	0
10134	9	87	4	20.72469898	66	17.5	5	0
10135	10	87	5	28.30066607	70	18	7	0
10136	10	87	6	17.44081796	61	5	3	0
10137	10	87	7	9.393968858	63	2	3	0
10138	10	87	1	4.858256434	61	10.5	6	0
10139	10	87	2	13.94374513	60	12.5	5	0
10140	10	87	3	16.10181949	64	8	5	1
10141	10	87	4	22.08660157	62	19	2	0
10142	10	87	5	38.08879414	57	14	5	1
10143	10	87	6	22.1094685	62	8	7	0
10144	10	87	7	20.10255301	61	16	3	1
10145	10	87	1	18.6799369	59	15.5	5	1
10146	10	87	2	28.88645704	55	19	6	0
10147	10	87	3	40.28924153	53	17.5	5	0
10148	10	87	4	35.23486763	49	17.5	7	1
10149	10	87	5	31.28826851	50	14.5	4	0
10150	10	87	6	25.18711526	54	12.5	5	1
10151	10	87	7	21.99509705	52	14	3	2
10152	10	87	1	25.31825355	51	12.5	7	2
10153	10	87	2	19.72195907	57	5	9	2
10154	10	87	3	31.97280683	56	17.5	7	0
10155	10	87	4	41.37192476	53	21	3	1
10156	10	87	5	70.11210467	49	20	2	2
10157	10	87	6	80.10478152	50	18	9	0
10158	10	87	7	31.24620925	53	21.5	5	1
10159	10	87	1	12.94547694	55	8	7	0
10160	10	87	2	20.7632566	51	8.5	7	0
10161	10	87	3	30.12201383	48	14.5	5	2
10162	10	87	4	48.99708629	50	18	5	3
10163	10	87	5	32.7552666	55	12.5	9	0
10164	10	87	6	32.90871453	59	15.5	8	0
10165	10	87	7	14.9503424	56	10.5	2	0
10166	11	87	1	8.559577881	53	11	5	0
10167	11	87	2	13.33584651	51	22.5	7	1
10168	11	87	3	38.71295324	52	21.5	3	0
10169	11	87	4	50.56672757	49	6	5	1
10170	11	87	5	37.79426519	52	12.5	4	1
10171	11	87	6	40.00250591	49	NA	5	1
10172	11	87	7	33.72502871	56	NA	11	1
10173	11	87	1	25.97853528	56	NA	9	1
10174	11	87	2	33.50707423	54	NA	3	0
10175	11	87	3	22.5968932	53	15.5	8	0
10176	11	87	4	17.33996298	54	6.5	8	1
10177	11	87	5	26.06285433	54	13	6	0
10178	11	87	6	12.61696135	48	8	8	0
10179	11	87	7	4.808127197	46	1.5	10	1
10180	11	87	1	5.780955402	47	7	7	1
10181	11	87	2	23.96892716	39	20	7	0
10182	11	87	3	55.66548962	42	18.5	5	1
10183	11	87	4	55.82672633	48	20.5	5	2
10184	11	87	5	54.88885789	54	12.5	2	0
10185	11	87	6	35.39137885	57	8	5	2
10186	11	87	7	2.128477949	49	0	7	2
10187	11	87	1	4.15463422	47	0	4	0
10188	11	87	2	6.153744669	48	0.5	11	1
10189	11	87	3	6.641360304	47	0	11	1
10190	11	87	4	36.98657629	44	18	3	0
10191	11	87	5	48.68465247	44	23.5	3	1
10192	11	87	6	71.38061054	44	21	12	0
10193	11	87	7	78.29808283	39	21.5	8	1
10194	11	87	1	64.28972725	41	10.5	6	3
10195	11	87	2	7.249996693	48	1.5	7	0
10196	12	87	3	7.023340261	46	1.5	6	1
10197	12	87	4	9.882118978	48	3.5	4	1
10198	12	87	5	15.98725012	49	8.5	7	2
10199	12	87	6	22.13547305	44	10.5	7	1
10200	12	87	7	35.39687915	43	16.5	4	1
10201	12	87	1	10.17364788	48	7.5	5	0
10202	12	87	2	7.222162033	46	4.5	6	0
10203	12	87	3	6.225231294	46	3	10	1
10204	12	87	4	3.426409051	48	1.5	8	1
10205	12	87	5	2.736266159	44	0	5	0
10206	12	87	6	14.31066462	40	10	6	3
10207	12	87	7	19.57729789	36	18	5	0
10208	12	87	1	23.07638253	31	14	9	0
10209	12	87	2	17.04184407	35	15.5	9	2
10210	12	87	3	21.34050862	32	11.5	4	1
10211	12	87	4	9.731186171	34	7.5	5	0
10212	12	87	5	33.27267581	34	22.5	8	1
10213	12	87	6	23.76126807	37	17	8	0
10214	12	87	7	44.45872141	35	20.5	6	1
10215	12	87	1	28.50814892	36	12.5	11	0
10216	12	87	2	7.463625868	40	2	4	2
10217	12	87	3	20.5935566	38	6	5	0
10218	12	87	4	25.60537515	34	10.5	8	0
10219	12	87	5	50.54270813	36	17	6	0
10220	12	87	6	56.08177259	33	19	7	0
10221	12	87	7	71.42989004	33	13	7	0
10222	12	87	1	56.84746997	37	14	13	2
10223	12	87	2	41.90726629	41	13	10	0
10224	12	87	3	27.92682623	41	15.5	7	1
10225	12	87	4	31.67775106	39	14.5	6	2
10226	12	87	5	35.6376176	39	19	6	1
10227	1	88	6	46.24099736	35	13	9	0
10228	1	88	7	40.00607003	32	12.5	6	1
10229	1	88	1	14.77432867	36	3	6	0
10230	1	88	2	24.65862829	40	9.5	7	1
10231	1	88	3	38.91130596	42	11.5	4	1
10232	1	88	4	47.48961154	41	22	4	0
10233	1	88	5	32.4150593	41	12	4	0
10234	1	88	6	23.91164122	38	4	6	0
10235	1	88	7	14.41601481	42	7	1	2
10236	1	88	1	9.92013455	43	10	4	4
10237	1	88	2	8.200121372	41	1.5	11	0
10238	1	88	3	11.09174025	41	4	11	1
10239	1	88	4	14.32019795	43	8.5	6	1
10240	1	88	5	7.274024717	48	4	8	1
10241	1	88	6	4.719726406	42	0	10	0
10242	1	88	7	11.03481969	39	3.5	10	0
10243	1	88	1	34.18327743	40	17	11	0
10244	1	88	2	25.71553399	40	18	4	0
10245	1	88	3	35.35547648	39	8	9	0
10246	1	88	4	16.8119118	43	4	7	1
10247	1	88	5	44.78611667	41	18	5	2
10248	1	88	6	27.17707406	40	3.5	8	1
10249	1	88	7	33.52622821	41	22.5	8	1
10250	1	88	1	63.21840191	35	23	9	0
10251	1	88	2	93.59298033	42	22	9	2
10252	1	88	3	95.37457685	38	20.5	6	0
10253	1	88	4	80.4937907	46	15.5	8	1
10254	1	88	5	24.07214788	48	6.5	7	2
10255	1	88	6	10.17564522	43	1	5	2
10256	1	88	7	15.20420966	36	9	9	0
10257	1	88	1	14.32592158	32	0.5	7	1
10258	2	88	2	31.47131165	30	14	11	1
10259	2	88	3	43.03049705	33	2.5	9	3
10260	2	88	4	21.02816063	41	15.5	6	1
10261	2	88	5	33.39836422	40	15.5	13	3
10262	2	88	6	64.61130857	41	13.6	6	1
10263	2	88	7	23.7638067	44	7	4	0
10264	2	88	1	8.346296094	47	3.5	9	1
10265	2	88	2	16.10082523	47	11	8	1
10266	2	88	3	12.93425447	45	7	10	0
10267	2	88	4	11.08062446	48	2.5	5	3
10268	2	88	5	9.667753613	48	1.5	3	0
10269	2	88	6	11.91197936	48	0.5	9	0
10270	2	88	7	5.092558228	46	1	6	0
10271	2	88	1	5.918989839	43	0.5	5	0
10272	2	88	2	6.095629609	42	1	4	2
10273	2	88	3	16.12791485	42	6.5	11	2
10274	2	88	4	8.54677354	44	1.5	7	1
10275	2	88	5	16.88633606	43	15.5	9	0
10276	2	88	6	31.55749945	46	12	9	2
10277	2	88	7	43.57107576	42	11	4	2
10278	2	88	1	61.96930337	41	14	9	0
10279	2	88	2	57.07433694	44	10	5	2
10280	2	88	3	33.15167383	47	12.5	4	1
10281	2	88	4	37.76632124	49	20.5	10	2
10282	2	88	5	52.3300987	49	13	7	0
10283	2	88	6	40.57590667	49	14	6	2
10284	2	88	7	43.32371377	50	8	7	0
10285	2	88	1	30.97382615	52	13.9	11	3
10286	2	88	2	45.60676505	54	11.5	4	0
10287	3	88	3	21.39151848	49	10.5	12	0
10288	3	88	4	11.17389289	47	3.5	2	0
10289	3	88	5	12.53858161	44	4.5	7	0
10290	3	88	6	12.31471243	45	6.5	4	1
10291	3	88	7	10.71392823	44	2	3	0
10292	3	88	1	5.321744949	44	0	7	2
10293	3	88	2	19.67430763	44	12	5	0
10294	3	88	3	17.57623304	45	5.5	5	1
10295	3	88	4	8.017151714	42	4.5	7	1
10296	3	88	5	14.89900786	43	14	6	0
10297	3	88	6	45.84051767	44	17	6	1
10298	3	88	7	29.76482901	44	16	6	1
10299	3	88	1	31.59884385	47	15	9	3
10300	3	88	2	44.85199984	45	13.5	5	1
10301	3	88	3	20.19163257	46	11	8	3
10302	3	88	4	24.52624505	49	15.5	7	1
10303	3	88	5	30.87171392	49	17	7	1
10304	3	88	6	41.71074665	51	17	7	0
10305	3	88	7	24.77237554	53	5	10	1
10306	3	88	1	4.96292565	47	1.5	5	1
10307	3	88	2	6.593248482	46	3	8	1
10308	3	88	3	7.392727209	48	0.5	12	2
10309	3	88	4	3.903161931	46	0	9	1
10310	3	88	5	5.531281105	42	0	9	0
10311	3	88	6	4.213635554	47	0	11	1
10312	3	88	7	2.814263523	43	2.5	7	1
10313	3	88	1	7.450135383	43	8	5	0
10314	3	88	2	15.29956639	42	3.5	6	0
10315	3	88	3	7.173899745	46	5	10	0
10316	3	88	4	15.67332034	46	13.5	7	0
10317	3	88	5	15.10016324	51	15.8	8	0
10318	4	88	6	18.77228538	49	6.5	5	1
10319	4	88	7	7.801735127	48	2	6	0
10320	4	88	1	3.543647342	45	0	4	0
10321	4	88	2	3.751956448	44	0.5	5	4
10322	4	88	3	10.5078661	45	3.5	5	3
10323	4	88	4	4.270393606	45	2	1	0
10324	4	88	5	7.464404773	44	2	5	0
10325	4	88	6	8.771362857	47	5.5	4	1
10326	4	88	7	7.708291749	53	6.5	5	0
10327	4	88	1	7.766278911	59	8	3	0
10328	4	88	2	11.86428359	54	6.5	3	0
10329	4	88	3	35.80239446	58	13	5	1
10330	4	88	4	10.0182333	53	3.5	7	0
10331	4	88	5	15.58971116	53	15	3	0
10332	4	88	6	35.02675467	57	17	6	0
10333	4	88	7	19.0056846	53	15.5	7	2
10334	4	88	1	11.24467665	48	7	5	0
10335	4	88	2	9.011598496	50	10.5	4	0
10336	4	88	3	18.07271598	55	6	2	0
10337	4	88	4	13.91187615	58	9.5	7	1
10338	4	88	5	10.89466196	49	0	5	0
10339	4	88	6	11.1231918	49	10	1	0
10340	4	88	7	7.387536767	46	0	4	1
10341	4	88	1	8.5531458	45	3.5	6	2
10342	4	88	2	8.826729989	49	12.5	7	3
10343	4	88	3	19.88893382	53	16.5	7	0
10344	4	88	4	15.79697213	59	13.5	5	0
10345	4	88	5	9.707843144	55	3.5	8	0
10346	4	88	6	3.628470669	46	0	4	1
10347	4	88	7	5.268154823	46	2	5	1
10348	5	88	1	3.994993778	45	1	6	1
10349	5	88	2	14.61375462	44	2.5	0	0
10350	5	88	3	8.694676009	47	7	4	0
10351	5	88	4	11.8588338	50	11.5	3	1
10352	5	88	5	20.20211779	51	11	6	2
10353	5	88	6	8.247275279	49	8	1	0
10354	5	88	7	13.26084862	53	11.5	4	0
10355	5	88	1	10.05596939	58	10	4	1
10356	5	88	2	7.654585242	60	7.5	5	1
10357	5	88	3	7.944396553	66	9	6	1
10358	5	88	4	17.802486	69	11.5	6	1
10359	5	88	5	9.485439998	63	5	2	0
10360	5	88	6	4.029647553	53	0	5	2
10361	5	88	7	5.413131379	57	6	1	0
10362	5	88	1	4.913348432	62	9.5	2	1
10363	5	88	2	4.382561342	53	2	6	2
10364	5	88	3	5.057113191	52	1	5	1
10365	5	88	4	5.877562887	53	4.5	4	1
10366	5	88	5	3.795215835	56	8.2	3	0
10367	5	88	6	7.568266	59	3	3	0
10368	5	88	7	16.10775603	67	10.5	7	0
10369	5	88	1	4.9301225	55	0	7	0
10370	5	88	2	5.4187278	51	3.5	9	0
10371	5	88	3	8.558787585	54	11.5	5	0
10372	5	88	4	6.500161992	56	6	5	1
10373	5	88	5	18.05460756	55	4.5	3	0
10374	5	88	6	10.87066507	58	6	4	0
10375	5	88	7	1.897759427	52	2	3	0
10376	5	88	1	4.081982989	51	8	2	1
10377	5	88	2	2.705792941	52	1	5	2
10378	5	88	3	4.117336896	55	5	5	0
10379	6	88	4	7.101284791	53	8	1	1
10380	6	88	5	6.893666886	56	8.5	3	0
10381	6	88	6	4.961073045	56	4.5	4	1
10382	6	88	7	5.809579198	56	11.5	6	1
10383	6	88	1	3.889816418	55	5.5	3	0
10384	6	88	2	5.096252655	57	4	4	0
10385	6	88	3	6.29303016	54	8	3	2
10386	6	88	4	7.457445185	56	10	2	2
10387	6	88	5	8.986609705	56	6.5	4	4
10388	6	88	6	4.465948362	58	2	2	0
10389	6	88	7	2.477482904	58	6.5	1	0
10390	6	88	1	5.425105205	59	9	7	0
10391	6	88	2	6.172113744	62	9.5	3	0
10392	6	88	3	10.39068633	71	9.5	2	0
10393	6	88	4	7.609482209	66	4	7	1
10394	6	88	5	13.11549745	59	7.5	5	0
10395	6	88	6	7.578429726	58	0	3	1
10396	6	88	7	3.244631516	63	0	6	1
10397	6	88	1	3.076367708	63	2	4	1
10398	6	88	2	6.640398062	63	5.7	2	2
10399	6	88	3	7.119186061	68	5.5	1	2
10400	6	88	4	4.490255026	63	3	6	1
10401	6	88	5	4.708435718	60	2.5	11	1
10402	6	88	6	6.635048864	65	7	4	0
10403	6	88	7	6.04055268	64	2	7	0
10404	6	88	1	2.667338657	61	3.5	4	2
10405	6	88	2	2.169696175	58	4.5	7	1
10406	6	88	3	5.593216653	57	4.5	3	1
10407	6	88	4	3.344217389	59	3	2	1
10408	6	88	5	10.76620527	61	12.5	3	0
10409	7	88	6	4.466946041	59	3	3	1
10410	7	88	7	1.320746279	63	2	3	0
10411	7	88	1	5.890064249	60	7.5	2	0
10412	7	88	2	7.580478031	59	6.5	4	0
10413	7	88	3	3.976784948	57	1.5	4	3
10414	7	88	4	7.444713615	60	1.5	1	2
10415	7	88	5	10.03586504	63	5	1	1
10416	7	88	6	12.04145817	68	11	2	1
10417	7	88	7	10.32457724	65	12	9	0
10418	7	88	1	3.455436608	63	8.5	3	2
10419	7	88	2	2.636132913	60	1	2	1
10420	7	88	3	3.373892241	59	3.5	1	2
10421	7	88	4	4.706349838	60	1.5	2	2
10422	7	88	5	6.151063089	62	2	3	0
10423	7	88	6	6.401285057	66	10.5	9	0
10424	7	88	7	3.783895287	64	9.5	2	0
10425	7	88	1	3.894155036	67	6.5	7	0
10426	7	88	2	6.005552359	70	8.5	4	0
10427	7	88	3	11.61008982	77	8	3	0
10428	7	88	4	13.60637482	77	8	4	1
10429	7	88	5	6.020011459	68	7	3	1
10430	7	88	6	11.21825429	66	3	0	2
10431	7	88	7	8.421075967	66	11.5	4	0
10432	7	88	1	5.634651111	71	8.5	5	2
10433	7	88	2	10.49696092	77	13	3	1
10434	7	88	3	7.88810485	78	8	4	5
10435	7	88	4	5.855059022	66	4	7	1
10436	7	88	5	9.692913815	64	7.5	5	3
10437	7	88	6	5.789635205	69	7	3	1
10438	7	88	7	3.817592549	68	4	1	3
10439	7	88	1	7.259834639	62	3	6	0
10440	8	88	2	6.112241489	64	6.5	0	1
10441	8	88	3	10.70417419	67	13	4	1
10442	8	88	4	10.46225745	74	14	1	1
10443	8	88	5	12.69348719	74	10.5	2	1
10444	8	88	6	7.389831944	63	4	1	1
10445	8	88	7	4.533592989	62	5.5	1	0
10446	8	88	1	5.481259382	64	12.5	5	1
10447	8	88	2	8.277719746	68	10	8	0
10448	8	88	3	18.36466243	66	11	3	0
10449	8	88	4	8.529571014	68	7	2	1
10450	8	88	5	13.19479138	63	10	2	0
10451	8	88	6	12.66882037	64	6	2	2
10452	8	88	7	6.019623463	64	9.5	2	0
10453	8	88	1	7.52182221	62	5.5	3	1
10454	8	88	2	6.264463227	59	3	2	0
10455	8	88	3	5.077476455	62	1	2	0
10456	8	88	4	5.729648473	63	4	4	2
10457	8	88	5	6.537614868	64	8.5	5	2
10458	8	88	6	8.197511918	64	8.5	0	1
10459	8	88	7	9.592596874	59	8.5	3	2
10460	8	88	1	10.83465122	64	9.5	4	2
10461	8	88	2	9.018921718	69	9	4	1
10462	8	88	3	17.22479186	76	8	3	1
